,Unnamed: 0,bank,bike,bike loan,business,business services,consumer,consumer durable,durable,durable loan,finance,financial,financial services,furniture,furniture loan,home,home loan,housing,housing finance,insurance,investor,loan,mobile,mobile loan,personal,personal loan,services,wheeler,wheeler loan,Company
54,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADITSHFINTECHPVTLTD
55,56,0.0,0.0,0.0,0.2914856323350768,0.0,0.0,0.0,0.0,0.0,0.5646242688763852,0.6502403713020389,0.6502403713020389,0.0,0.0,0.6502403713020389,0.0,0.2914856323350768,0.2914856323350768,0.6502403713020389,0.6502403713020389,0.3326464726325734,0.2914856323350768,0.0,0.6502403713020389,0.0,0.5646242688763852,0.0,0.0,ADITY BIRLA FINANCE
56,57,0.0,0.0,0.0,0.2914856323350768,0.0,0.0,0.0,0.0,0.0,0.5646242688763852,0.6502403713020389,0.6502403713020389,0.0,0.0,0.6502403713020389,0.0,0.2914856323350768,0.2914856323350768,0.6502403713020389,0.6502403713020389,0.3326464726325734,0.2914856323350768,0.0,0.6502403713020389,0.0,0.5646242688763852,0.0,0.0,Aditya Birla Finance
57,58,0.2914856323350768,0.0,0.0,0.2914856323350768,0.0,0.2914856323350768,0.0,0.0,0.0,0.5062123771724891,0.5829712646701536,0.0,0.0,0.0,0.5829712646701536,0.5829712646701536,0.5829712646701536,0.5829712646701536,0.5829712646701536,0.5829712646701536,0.298233304785991,0.5829712646701536,0.0,0.2914856323350768,0.0,0.5062123771724891,0.0,0.0,ADITYA BIRLA HOUSING
58,59,0.0,0.0,0.0,0.3199331223715676,0.0,0.0,0.0,0.0,0.0,0.5556160868531387,0.6398662447431351,0.3199331223715676,0.0,0.0,0.6398662447431351,0.0,0.6398662447431351,0.6398662447431351,0.6398662447431351,0.3199331223715676,0.32733933275205024,0.3199331223715676,0.0,0.6398662447431351,0.0,0.5556160868531387,0.0,0.0,ADITYABIRLAHOSFINLTD
59,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,AEGOLIFINSCOMPLTD
60,61,0.0,0.498399161161992,0.498399161161992,0.2424236484586086,0.0,0.498399161161992,0.498399161161992,0.498399161161992,0.498399161161992,0.210504117108575,0.0,0.0,0.498399161161992,0.498399161161992,0.498399161161992,0.0,0.0,0.0,0.0,0.0,0.2549683628403315,0.498399161161992,0.498399161161992,0.498399161161992,0.498399161161992,0.0,0.498399161161992,0.498399161161992,AeonCreditServiceInd
61,62,0.4709860747910019,0.0,0.0,0.4709860747910019,0.0,0.0,0.0,0.0,0.0,0.408972096883696,0.4709860747910019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408972096883696,0.0,0.0,AKAANKSHACREDITLEASE
62,63,0.9419721495820038,0.0,0.0,0.9419721495820038,0.0,0.0,0.0,0.0,0.0,0.8179441937673919,0.9419721495820038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8179441937673919,0.0,0.0,AKARA CAPITAL ADVISO
63,64,0.4709860747910019,0.0,0.0,0.9871086769860464,0.0,0.0,0.0,0.0,0.0,0.408972096883696,0.4709860747910019,0.0,0.0,0.0,0.5161226021950446,0.0,0.0,0.0,0.0,0.5161226021950446,0.0,0.0,0.0,0.0,0.0,0.8571376673041013,0.0,0.0,AKARACAPITALADVISORS
64,65,0.3532067914824011,0.0,0.0,0.6025846284713108,0.0,0.0,0.0,0.0,0.0,0.0,0.3532067914824011,0.3532067914824011,0.0,0.0,0.6025846284713108,0.0,0.3532067914824011,0.0,0.3532067914824011,0.3532067914824011,0.1806916310982384,0.3532067914824011,0.0,0.0,0.0,0.8299439030662881,0.0,0.0,AlankitAssignmentsLi
65,66,0.38478619172147854,0.0,0.0,0.9009087939165232,0.0,0.0,0.0,0.0,0.0,0.0,0.38478619172147854,0.38478619172147854,0.0,0.0,0.9009087939165232,0.0,0.0,0.0,0.0,0.0,0.0,0.9009087939165232,0.0,0.0,0.0,0.7822875840065943,0.0,0.0,ALANKITASSIGNMENTSLT
66,67,0.7071067811865476,0.0,0.0,0.3591179453682599,0.0,0.0,0.0,0.0,0.0,0.0,0.3591179453682599,0.3591179453682599,0.0,0.0,0.3591179453682599,0.0,0.0,0.0,1.0662247265548075,0.3591179453682599,0.0,0.3591179453682599,0.0,0.0,0.0,0.3118334638895522,0.0,0.0,ALANKITASSMTLTD
67,68,0.6206976330936133,0.0,0.0,0.6206976330936133,0.0,0.0,0.0,0.0,0.0,0.5389713754269401,0.6206976330936133,0.0,0.0,0.0,0.6206976330936133,0.0,0.6206976330936133,0.0,0.6206976330936133,0.6206976330936133,0.31753315747919064,0.6206976330936133,0.0,0.6206976330936133,0.0,0.2645962249532465,0.0,0.0,ALLAHABAD BANK
68,69,0.6114187547066443,0.0,0.0,0.6114187547066443,0.0,0.0,0.0,0.0,0.0,0.530914232012814,0.2914856323350768,0.0,0.2914856323350768,0.0,0.6114187547066443,0.0,0.6114187547066443,0.3199331223715676,0.6114187547066443,0.2914856323350768,0.31278631876902063,0.6114187547066443,0.0,0.6114187547066443,0.0,0.530914232012814,0.0,0.0,ALLAHABADBANKLNRP
69,70,0.6094358923009188,0.0,0.0,0.6094358923009188,0.0,0.0,0.0,0.0,0.0,0.5291924499064931,0.6094358923009188,0.0,0.0,0.0,0.6094358923009188,0.0,0.6094358923009188,0.0,0.6094358923009188,0.6094358923009188,0.31177193668188635,0.6094358923009188,0.0,0.6094358923009188,0.0,0.5291924499064931,0.0,0.0,ALLAHABADBANKUTBP
70,71,0.0,0.0,0.0,0.9172768156015983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9172768156015983,0.0,0.0,0.9172768156015983,0.0,0.9172768156015983,0.0,0.7965004546383926,0.0,0.0,AMERICAN EXPRESS BAN
71,72,0.6486126565370925,0.0,0.0,0.6486126565370925,0.0,0.0,0.0,0.0,0.0,0.5632108726929755,0.6486126565370925,0.6486126565370925,0.0,0.0,0.6486126565370925,0.0,0.0,0.0,0.6486126565370925,0.6486126565370925,0.0,0.6486126565370925,0.0,0.0,0.0,0.5632108726929755,0.0,0.0,ANAND RATHI GLOBAL F
72,73,0.6477762982022104,0.0,0.0,0.6477762982022104,0.0,0.3049404158767285,0.0,0.0,0.0,0.5624846363130259,0.6477762982022104,0.3428358823254819,0.0,0.0,0.3049404158767285,0.0,0.3049404158767285,0.0,0.6477762982022104,0.6477762982022104,0.0,0.6477762982022104,0.0,0.3049404158767285,0.0,0.297695233864063,0.0,0.0,ANANDRATHISHARESTOCK
