,bank,bike,bike loan,business,business services,consumer,consumer durable,durable,durable loan,finance,financial,financial services,furniture,furniture loan,home,home loan,housing,housing finance,insurance,investor,loan,mobile,mobile loan,personal,personal loan,services,wheeler,wheeler loan
68,0.6206976330936133,0.0,0.0,0.6206976330936133,0.0,0.0,0.0,0.0,0.0,0.5389713754269401,0.6206976330936133,0.0,0.0,0.0,0.6206976330936133,0.0,0.6206976330936133,0.0,0.6206976330936133,0.6206976330936133,0.31753315747919064,0.6206976330936133,0.0,0.6206976330936133,0.0,0.26459622495324653,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0
72,0.6486126565370925,0.0,0.0,0.6486126565370925,0.0,0.0,0.0,0.0,0.0,0.5632108726929755,0.6486126565370925,0.6486126565370925,0.0,0.0,0.6486126565370925,0.0,0.0,0.0,0.6486126565370925,0.6486126565370925,0.0,0.6486126565370925,0.0,0.0,0.0,0.5632108726929755,0.0,0.0
59,0.0,0.0,0.0,0.2914856323350768,0.0,0.0,0.0,0.0,0.0,0.530914232012814,0.6114187547066443,0.2914856323350768,0.0,0.0,0.6114187547066443,0.0,0.6114187547066443,0.6114187547066443,0.6114187547066443,0.6114187547066443,0.31278631876902063,0.6114187547066443,0.0,0.6114187547066443,0.0,0.530914232012814,0.0,0.0
57,0.0,0.0,0.0,0.2914856323350768,0.0,0.0,0.0,0.0,0.0,0.614606510027335,0.2914856323350768,0.2914856323350768,0.0,0.0,0.7078016077490275,0.0,0.2914856323350768,0.2914856323350768,0.7078016077490275,0.7078016077490275,0.36209334045180663,0.2914856323350768,0.0,0.7078016077490275,0.0,0.614606510027335,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.2602040445791008,0.2602040445791008,0.2602040445791008,0.2602040445791008,0.0,0.0,0.0,0.0,0.0,0.22594339710862,0.2602040445791008,0.2602040445791008,0.0,0.0,0.2602040445791008,0.2602040445791008,0.0,0.0,0.2602040445791008,0.2602040445791008,0.13311378593834064,0.2602040445791008,0.0,0.2602040445791008,0.2602040445791008,0.22594339710862,0.0,0.0
69,0.5870445531522294,0.0,0.0,0.5870445531522294,0.0,0.2671114307806618,0.2671114307806618,0.2671114307806618,0.0,0.5097493423204841,0.2671114307806618,0.0,0.0,0.0,0.5870445531522294,0.0,0.5870445531522294,0.31993312237156757,0.5870445531522294,0.2671114307806618,0.30031709580447885,0.5870445531522294,0.0,0.5870445531522294,0.0,0.27780804342656934,0.2671114307806618,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
